,Grupo,Pokemon
0,47,Abomasnow
1,15,Abra
2,1,Absol
3,11,Accelgor
4,11,Aegislash
5,36,Aerodactyl
6,24,Aggron
7,1,Aipom
8,15,Alakazam
9,37,Alomomola
10,29,Altaria
11,43,Amaura
12,1,Ambipom
13,6,Amoonguss
14,28,Ampharos
15,33,Anorith
16,9,Arbok
17,20,Arcanine
18,8,Arceus
19,8,Arceus-Bug
20,8,Arceus-Dark
21,8,Arceus-Dragon
22,8,Arceus-Electric
23,8,Arceus-Fairy
24,8,Arceus-Fighting
25,8,Arceus-Fire
26,8,Arceus-Flying
27,8,Arceus-Ghost
28,8,Arceus-Grass
29,8,Arceus-Ground
30,8,Arceus-Ice
31,8,Arceus-Poison
32,8,Arceus-Psychic
33,8,Arceus-Rock
34,8,Arceus-Steel
35,8,Arceus-Water
36,29,Archen
37,29,Archeops
38,30,Ariados
39,33,Armaldo
40,42,Aromatisse
41,0,Aron
42,46,Articuno
43,54,Audino
44,43,Aurorus
45,0,Avalugg
46,50,Axew
47,15,Azelf
48,51,Azumarill
49,37,Azurill
50,50,Bagon
51,2,Baltoy
52,53,Banette
53,33,Barbaracle
54,37,Barboach
55,37,Basculin
56,0,Bastiodon
57,40,Bayleef
58,22,Beartic
59,26,Beautifly
60,26,Beedrill
61,35,Beheeyem
62,48,Beldum
63,6,Bellossom
64,40,Bellsprout
65,55,Bergmite
66,16,Bibarel
67,16,Bidoof
68,33,Binacle
69,25,Bisharp
70,51,Blastoise
71,19,Blaziken
72,54,Blissey
73,14,Blitzle
74,27,Boldore
75,27,Bonsly
76,4,Bouffalant
77,23,Braixen
78,29,Braviary
79,47,Breloom
80,2,Bronzong
81,2,Bronzor
82,6,Budew
83,22,Buizel
84,40,Bulbasaur
85,16,Buneary
86,4,Bunnelby
87,55,Burmy
88,26,Butterfree
89,47,Cacnea
90,47,Cacturne
91,56,Camerupt
92,2,Carbink
93,32,Carnivine
94,5,Carracosta
95,43,Carvanha
96,13,Cascoon
97,43,Castform
98,13,Caterpie
99,38,Celebi
100,23,Chandelure
101,54,Chansey
102,19,Charmander
103,19,Charmeleon
104,7,Chatot
105,6,Cherrim
106,6,Cherubi
107,4,Chesnaught
108,4,Chespin
109,40,Chikorita
110,19,Chimchar
111,35,Chimecho
112,37,Chinchou
113,35,Chingling
114,16,Cinccino
115,37,Clamperl
116,31,Clauncher
117,31,Clawitzer
118,2,Claydol
119,54,Clefairy
120,54,Cleffa
121,21,Cloyster
122,4,Cobalion
123,53,Cofagrigus
124,3,Combee
125,19,Combusken
126,12,Conkeldurr
127,22,Corphish
128,5,Corsola
129,6,Cottonee
130,32,Cradily
131,0,Cranidos
132,22,Crawdaunt
133,2,Cresselia
134,41,Croagunk
135,7,Crobat
136,51,Croconaw
137,33,Crustle
138,55,Cryogonal
139,22,Cubchoo
140,24,Cubone
141,20,Cyndaquil
142,1,Darkrai
143,44,Darmanitan
144,44,Darumaka
145,14,Dedenne
146,6,Deerling
147,36,Deino
148,16,Delcatty
149,21,Delibird
