Index,Grupo,Pokemon
0,20,Abomasnow
1,24,Abra
2,29,Absol
3,50,Accelgor
4,28,Aegislash
5,4,Aerodactyl
6,4,Aggron
7,29,Aipom
8,24,Alakazam
9,39,Alomomola
10,27,Altaria
11,44,Amaura
12,29,Ambipom
13,33,Amoonguss
14,46,Ampharos
15,15,Anorith
16,42,Arbok
17,25,Arcanine
18,5,Arceus
19,5,Arceus-Bug
20,5,Arceus-Dark
21,5,Arceus-Dragon
22,5,Arceus-Electric
23,5,Arceus-Fairy
24,5,Arceus-Fighting
25,5,Arceus-Fire
26,5,Arceus-Flying
27,5,Arceus-Ghost
28,5,Arceus-Grass
29,5,Arceus-Ground
30,5,Arceus-Ice
31,5,Arceus-Poison
32,5,Arceus-Psychic
33,5,Arceus-Rock
34,5,Arceus-Steel
35,5,Arceus-Water
36,4,Archen
37,4,Archeops
38,30,Ariados
39,15,Armaldo
40,21,Aromatisse
41,4,Aron
42,27,Articuno
43,14,Audino
44,44,Aurorus
45,20,Avalugg
46,23,Axew
47,9,Azelf
48,22,Azumarill
49,22,Azurill
50,23,Bagon
51,9,Baltoy
52,18,Banette
53,15,Barbaracle
54,10,Barboach
55,10,Basculin
56,4,Bastiodon
57,0,Bayleef
58,51,Beartic
59,2,Beautifly
60,30,Beedrill
61,24,Beheeyem
62,56,Beldum
63,33,Bellossom
64,33,Bellsprout
65,44,Bergmite
66,12,Bibarel
67,12,Bidoof
68,15,Binacle
69,29,Bisharp
70,37,Blastoise
71,26,Blaziken
72,14,Blissey
73,16,Blitzle
74,43,Boldore
75,43,Bonsly
76,4,Bouffalant
77,25,Braixen
78,27,Braviary
79,6,Breloom
80,9,Bronzong
81,9,Bronzor
82,47,Budew
83,10,Buizel
84,0,Bulbasaur
85,14,Buneary
86,54,Bunnelby
87,34,Burmy
88,2,Butterfree
89,37,Cacnea
90,37,Cacturne
91,31,Camerupt
92,9,Carbink
93,33,Carnivine
94,43,Carracosta
95,4,Carvanha
96,38,Cascoon
97,20,Castform
98,38,Caterpie
99,9,Celebi
100,18,Chandelure
101,14,Chansey
102,23,Charmander
103,23,Charmeleon
104,27,Chatot
105,0,Cherrim
106,0,Cherubi
107,54,Chesnaught
108,54,Chespin
109,0,Chikorita
110,26,Chimchar
111,24,Chimecho
112,39,Chinchou
113,24,Chingling
114,12,Cinccino
115,39,Clamperl
116,22,Clauncher
117,22,Clawitzer
118,9,Claydol
119,14,Clefairy
120,14,Cleffa
121,39,Cloyster
122,54,Cobalion
123,18,Cofagrigus
124,7,Combee
125,26,Combusken
126,6,Conkeldurr
127,10,Corphish
128,43,Corsola
129,47,Cottonee
130,31,Cradily
131,4,Cranidos
132,10,Crawdaunt
133,9,Cresselia
134,13,Croagunk
135,27,Crobat
136,10,Croconaw
137,15,Crustle
138,44,Cryogonal
139,51,Cubchoo
140,4,Cubone
141,25,Cyndaquil
142,18,Darkrai
143,25,Darmanitan
144,25,Darumaka
145,46,Dedenne
146,47,Deerling
147,23,Deino
148,14,Delcatty
149,20,Delibird
150,24,Delphox
151,24,Deoxys
152,24,Deoxys-Attack
153,24,Deoxys-Defense
154,24,Deoxys-Speed
155,39,Dewgong
156,22,Dewott
157,23,Dialga
158,9,Diancie
159,54,Diggersby
160,15,Diglett
161,32,Ditto
162,27,Dodrio
163,27,Doduo
164,4,Donphan
165,28,Doublade
166,34,Dragalge
167,23,Dragonair
168,23,Dragonite
169,30,Drapion
170,23,Dratini
171,18,Drifblim
172,18,Drifloon
173,15,Drilbur
174,24,Drowzee
175,4,Druddigon
176,27,Ducklett
177,15,Dugtrio
178,4,Dunsparce
179,9,Duosion
180,50,Durant
181,18,Dusclops
182,18,Dusknoir
183,18,Duskull
184,2,Dustox
185,15,Dwebble
186,16,Eelektrik
187,16,Eelektross
188,8,Eevee
189,42,Ekans
190,46,Electabuzz
191,46,Electivire
192,16,Electrike
193,49,Electrode
194,46,Elekid
195,24,Elgyem
196,25,Emboar
197,46,Emolga
198,39,Empoleon
199,25,Entei
200,11,Escavalier
201,8,Espeon
202,24,Espurr
203,15,Excadrill
204,0,Exeggcute
205,0,Exeggutor
206,51,Exploud
207,27,Farfetch'd
208,27,Fearow
209,39,Feebas
210,25,Fennekin
211,10,Feraligatr
212,1,Ferroseed
213,1,Ferrothorn
214,39,Finneon
215,46,Flaaffy
216,21,Flabebe
217,8,Flareon
218,27,Fletchinder
219,27,Fletchling
220,10,Floatzel
221,21,Floette
222,21,Floette-Eternal
223,21,Florges
224,23,Flygon
225,33,Foongus
226,43,Forretress
227,23,Fraxure
228,39,Frillish
229,39,Froakie
230,39,Frogadier
231,20,Froslass
232,12,Furfrou
233,12,Furret
234,23,Gabite
235,24,Gallade
236,11,Galvantula
237,40,Garbodor
238,24,Gardevoir
239,18,Gastly
240,31,Gastrodon
241,49,Genesect
242,18,Gengar
243,43,Geodude
244,23,Gible
245,43,Gigalith
246,24,Girafarig
247,5,Giratina
248,5,Giratina-Origin
249,8,Glaceon
250,20,Glalie
251,12,Glameow
252,15,Gligar
253,15,Gliscor
254,33,Gloom
255,54,Gogoat
256,27,Golbat
257,10,Goldeen
258,3,Golduck
259,43,Golem
260,1,Golett
261,1,Golurk
262,34,Goodra
263,34,Goomy
264,39,Gorebyss
265,24,Gothita
266,24,Gothitelle
267,24,Gothorita
268,18,Gourgeist
269,45,Gourgeist-Large
270,41,Gourgeist-Small
271,35,Gourgeist-Super
272,51,Granbull
273,43,Graveler
274,39,Greninja
275,40,Grimer
276,31,Grotle
277,26,Grovyle
278,25,Growlithe
279,24,Grumpig
280,40,Gulpin
281,6,Gurdurr
282,23,Gyarados
283,14,Happiny
284,13,Hariyama
285,18,Haunter
286,54,Hawlucha
287,23,Haxorus
288,51,Heatmor
289,16,Heliolisk
290,16,Helioptile
291,11,Heracross
292,16,Herdier
293,31,Hippopotas
294,31,Hippowdon
295,13,Hitmonchan
296,13,Hitmonlee
297,13,Hitmontop
298,27,Honchkrow
299,28,Honedge
300,27,Ho-Oh
301,24,Hoopa
302,24,Hoopa-Unbound
303,27,Hoothoot
304,47,Hoppip
305,22,Horsea
306,25,Houndoom
307,25,Houndour
308,39,Huntail
309,23,Hydreigon
310,24,Hypno
311,14,Igglybuff
312,2,Illumise
313,18,Inkay
314,0,Ivysaur
315,39,Jellicent
316,14,Jigglypuff
317,24,Jirachi
318,8,Jolteon
319,11,Joltik
320,47,Jumpluff
321,24,Jynx
322,10,Kabuto
323,15,Kabutops
324,24,Kadabra
325,38,Kakuna
326,51,Kangaskhan
327,11,Karrablast
328,26,Kecleon
329,54,Keldeo
330,22,Kingdra
331,22,Kingler
332,24,Kirlia
333,49,Klang
334,49,Klefki
335,49,Klink
336,49,Klinklang
337,40,Koffing
338,22,Krabby
339,7,Kricketot
340,50,Kricketune
341,4,Krokorok
342,4,Krookodile
343,10,Kyogre
344,23,Kyurem
345,23,Kyurem-Black
346,23,Kyurem-White
347,4,Lairon
348,18,Lampent
349,53,Landorus
350,53,Landorus-Therian
351,39,Lanturn
352,10,Lapras
353,25,Larvesta
354,4,Larvitar
355,9,Latias
356,9,Latios
357,8,Leafeon
358,50,Leavanny
359,50,Ledian
360,50,Ledyba
361,3,Lickilicky
362,3,Lickitung
363,29,Liepard
364,31,Lileep
365,0,Lilligant
366,16,Lillipup
367,12,Linoone
368,25,Litleo
369,18,Litwick
370,37,Lombre
371,14,Lopunny
372,37,Lotad
373,51,Loudred
374,6,Lucario
375,37,Ludicolo
376,5,Lugia
377,39,Lumineon
378,9,Lunatone
379,39,Luvdisc
380,16,Luxio
381,16,Luxray
382,13,Machamp
383,13,Machoke
384,13,Machop
385,51,Magby
386,31,Magcargo
387,55,Magikarp
388,51,Magmar
389,51,Magmortar
390,49,Magnemite
391,49,Magneton
392,49,Magnezone
393,13,Makuhita
394,18,Malamar
395,10,Mamoswine
396,39,Manaphy
397,27,Mandibuzz
398,16,Manectric
399,13,Mankey
400,39,Mantine
401,39,Mantyke
402,47,Maractus
403,46,Mareep
404,22,Marill
405,4,Marowak
406,10,Marshtomp
407,2,Masquerain
408,51,Mawile
409,24,Medicham
410,24,Meditite
411,0,Meganium
412,24,Meloetta
413,24,Meowstic-F
414,24,Meowstic-M
415,29,Meowth
416,1,Metagross
417,1,Metang
418,38,Metapod
419,24,Mew
420,24,Mewtwo
421,6,Mienfoo
422,6,Mienshao
423,12,Mightyena
424,39,Milotic
425,1,Miltank
426,24,Mime Jr.
427,12,Minccino
428,46,Minun
429,18,Misdreavus
430,18,Mismagius
431,27,Moltres
432,26,Monferno
433,2,Mothim
434,24,Mr. Mime
435,10,Mudkip
436,40,Muk
437,51,Munchlax
438,9,Munna
439,27,Murkrow
440,9,Musharna
441,24,Natu
442,42,Nidoking
443,42,Nidoqueen
444,42,Nidoran-F
445,42,Nidoran-M
446,42,Nidorina
447,42,Nidorino
448,50,Nincada
449,18,Ninetales
450,50,Ninjask
451,27,Noctowl
452,19,Noibat
453,19,Noivern
454,43,Nosepass
455,31,Numel
456,29,Nuzleaf
457,22,Octillery
458,33,Oddish
459,22,Omanyte
460,22,Omastar
461,43,Onix
462,22,Oshawott
463,46,Pachirisu
464,23,Palkia
465,10,Palpitoad
466,6,Pancham
467,6,Pangoro
468,39,Panpour
469,54,Pansage
470,25,Pansear
471,0,Paras
472,0,Parasect
473,12,Patrat
474,29,Pawniard
475,27,Pelipper
476,29,Persian
477,0,Petilil
478,4,Phanpy
479,18,Phantump
480,39,Phione
481,46,Pichu
482,27,Pidgeot
483,27,Pidgeotto
484,27,Pidgey
485,27,Pidove
486,25,Pignite
487,46,Pikachu
488,10,Piloswine
489,43,Pineco
490,13,Pinsir
491,39,Piplup
492,46,Plusle
493,22,Politoed
494,22,Poliwag
495,22,Poliwhirl
496,22,Poliwrath
497,25,Ponyta
498,12,Poochyena
499,49,Porygon
500,49,Porygon2
501,49,Porygon-Z
502,13,Primeape
503,39,Prinplup
504,43,Probopass
505,3,Psyduck
506,18,Pumpkaboo
507,7,Pumpkaboo-Large
508,45,Pumpkaboo-Small
509,45,Pumpkaboo-Super
510,4,Pupitar
511,29,Purrloin
512,12,Purugly
513,25,Pyroar
514,10,Quagsire
515,25,Quilava
516,54,Quilladin
517,40,Qwilfish
518,46,Raichu
519,16,Raikou
520,24,Ralts
521,4,Rampardos
522,25,Rapidash
523,12,Raticate
524,12,Rattata
525,1,Regice
526,1,Regigigas
527,1,Regirock
528,1,Registeel
529,10,Relicanth
530,22,Remoraid
531,23,Reshiram
532,9,Reuniclus
533,4,Rhydon
534,4,Rhyhorn
535,4,Rhyperior
536,6,Riolu
537,43,Roggenrola
538,0,Roselia
539,0,Roserade
540,17,Rotom
541,17,Rotom-Fan
542,17,Rotom-Frost
543,17,Rotom-Heat
544,17,Rotom-Mow
545,17,Rotom-Wash
546,27,Rufflet
547,29,Sableye
548,23,Salamence
549,22,Samurott
550,4,Sandile
551,15,Sandshrew
552,15,Sandslash
553,6,Sawk
554,47,Sawsbuck
555,7,Scatterbug
556,26,Sceptile
557,50,Scizor
558,30,Scolipede
559,4,Scrafty
560,4,Scraggy
561,50,Scyther
562,22,Seadra
563,10,Seaking
564,10,Sealeo
565,0,Seedot
566,39,Seel
567,10,Seismitoad
568,12,Sentret
569,48,Serperior
570,48,Servine
571,40,Seviper
572,2,Sewaddle
573,4,Sharpedo
574,0,Shaymin
575,0,Shaymin-Sky
576,50,Shedinja
577,23,Shelgon
578,39,Shellder
579,31,Shellos
580,50,Shelmet
581,4,Shieldon
582,29,Shiftry
583,16,Shinx
584,47,Shroomish
585,43,Shuckle
586,18,Shuppet
587,9,Sigilyph
588,38,Silcoon
589,39,Simipour
590,54,Simisage
591,25,Simisear
592,27,Skarmory
593,54,Skiddo
594,47,Skiploom
595,14,Skitty
596,30,Skorupi
597,34,Skrelp
598,29,Skuntank
599,51,Slaking
600,51,Slakoth
601,34,Sliggoo
602,3,Slowbro
603,3,Slowking
604,3,Slowpoke
605,31,Slugma
606,21,Slurpuff
607,36,Smeargle
608,14,Smoochum
609,29,Sneasel
610,48,Snivy
611,51,Snorlax
612,20,Snorunt
613,20,Snover
614,51,Snubbull
615,9,Solosis
616,9,Solrock
617,27,Spearow
618,38,Spewpa
619,10,Spheal
620,30,Spinarak
621,14,Spinda
622,18,Spiritomb
623,24,Spoink
624,21,Spritzee
625,37,Squirtle
626,12,Stantler
627,27,Staraptor
628,27,Staravia
629,27,Starly
630,9,Starmie
631,39,Staryu
632,43,Steelix
633,43,Steelix-Mega
634,16,Stoutland
635,10,Stunfisk
636,29,Stunky
637,43,Sudowoodo
638,39,Suicune
639,0,Sunflora
640,0,Sunkern
641,2,Surskit
642,27,Swablu
643,2,Swadloon
644,40,Swalot
645,10,Swampert
646,27,Swanna
647,27,Swellow
648,10,Swinub
649,21,Swirlix
650,9,Swoobat
651,8,Sylveon
652,27,Taillow
653,27,Talonflame
654,33,Tangela
655,33,Tangrowth
656,4,Tauros
657,51,Teddiursa
658,39,Tentacool
659,39,Tentacruel
660,25,Tepig
661,54,Terrakion
662,6,Throh
663,53,Thundurus
664,53,Thundurus-Therian
665,6,Timburr
666,43,Tirtouga
667,14,Togekiss
668,14,Togepi
669,14,Togetic
670,26,Torchic
671,43,Torkoal
672,53,Tornadus
673,53,Tornadus-Therian
674,31,Torterra
675,10,Totodile
676,13,Toxicroak
677,27,Tranquill
678,50,Trapinch
679,26,Treecko
680,18,Trevenant
681,0,Tropius
682,40,Trubbish
683,31,Turtwig
684,10,Tympole
685,16,Tynamo
686,25,Typhlosion
687,4,Tyranitar
688,4,Tyrantrum
689,13,Tyrogue
690,4,Tyrunt
691,8,Umbreon
692,27,Unfezant
693,34,Unown
694,51,Ursaring
695,9,Uxie
696,44,Vanillish
697,44,Vanillite
698,44,Vanilluxe
699,8,Vaporeon
700,30,Venipede
701,2,Venomoth
702,2,Venonat
703,0,Venusaur
704,2,Vespiquen
705,50,Vibrava
706,9,Victini
707,33,Victreebel
708,51,Vigoroth
709,33,Vileplume
710,54,Virizion
711,2,Vivillon
712,2,Volbeat
713,25,Volcanion
714,2,Volcarona
715,49,Voltorb
716,27,Vullaby
717,18,Vulpix
718,10,Wailmer
719,10,Wailord
720,10,Walrein
721,37,Wartortle
722,12,Watchog
723,29,Weavile
724,38,Weedle
725,33,Weepinbell
726,40,Weezing
727,47,Whimsicott
728,30,Whirlipede
729,10,Whiscash
730,51,Whismur
731,14,Wigglytuff
732,27,Wingull
733,52,Wobbuffet
734,9,Woobat
735,10,Wooper
736,2,Wormadam
737,2,Wormadam-Sandy
738,2,Wormadam-Trash
739,38,Wurmple
740,52,Wynaut
741,24,Xatu
742,18,Yamask
743,2,Yanma
744,2,Yanmega
745,19,Yveltal
746,26,Zangoose
747,27,Zapdos
748,16,Zebstrika
749,23,Zekrom
750,12,Zigzagoon
751,29,Zoroark
752,29,Zorua
753,27,Zubat
754,23,Zweilous
755,23,Zygarde
